鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
汐止區,房地(土地+建物),新北市汐止區新臺五路一段91~120號,317.46,工,,,1091030,土地2建物12車位0,七層,35,廠辦,見其他登記事項,見其他登記事項,1080123,4259.08,0,0,0,無,有,無,1004938,236,,0.0,0,6個月 免租金　　　　　　　　　　　　　　　第4年至第5年租金1,034,570元/月,RPRPMLOJJIPFFDF68CC
新店區,建物,新北市新店區寶橋路235巷121~150號,0.0,工,,,1090916,土地0建物1車位0,一層,8,店面(店鋪),工業用,鋼筋混凝土造,0881004,280.53,0,0,0,無,有,無,87411,312,,0.0,0,,RPRNMLOJJIPFFCF38CC
新店區,建物,新北市新店區中央路151~180號,0.0,其他,,,1091030,土地0建物1車位0,二十六層,29,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1011114,46.06,1,1,1,有,有,有,15580,338,,0.0,0,,RPQOMLOJJIPFFCF38CC
新店區,建物,新北市新店區中央路151~180號,0.0,其他,,,1091030,土地0建物1車位0,二十七層,29,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1011114,69.16,1,1,1,有,有,有,23600,341,,0.0,0,,RPROMLOJJIPFFCF48CC
新店區,建物,新北市新店區中央路151~180號,0.0,其他,,,1091030,土地0建物1車位0,十九層,22,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1011114,92.63,2,1,1,有,有,有,25583,276,,0.0,0,,RPTOMLOJJIPFFCF68CC
新店區,房地(土地+建物)+車位,新北市新店區中正路四維巷8弄1~30號,63.83,工,,,1091007,土地1建物1車位1,四層,5,廠辦,工業用,鋼筋混凝土造,0750319,275.40999999999997,0,0,0,無,無,無,62000,225,坡道平面,0.0,0,,RPOPMLOJJIPFFCF28CC
新店區,房地(土地+建物)+車位,新北市新店區民權路61~90號,0.0,工,,,1091029,土地0建物1車位1,十層,10,廠辦,見其他登記事項,鋼筋混凝土造,0820318,217.29999999999998,3,0,0,有,有,無,38029,175,坡道平面,0.0,0,,RPQPMLOJJIPFFCF48CC
新店區,建物,新北市新店區中興路三段211~240號,0.0,住,,,1091017,土地0建物1車位0,十三層,24,套房(1房1廳1衛),住家用,鋼筋混凝土造,0851116,25.42,1,1,1,有,有,有,12000,472,,0.0,0,租金含管理費。,RPVNMLPJJIPFFCF88CC
新店區,建物,新北市新店區中興路三段211~240號,0.0,住,,,1091018,土地0建物1車位0,七層,24,套房(1房1廳1衛),住家用,鋼筋混凝土造,0851116,30.029999999999998,1,0,1,有,有,有,12000,400,,0.0,0,租金含管理費。,RPWNMLPJJIPFFCF98CC
汐止區,建物,新北市汐止區樟樹二路31~60號,0.0,住,,,1091017,土地0建物1車位1,十二層,15,套房(1房1廳1衛),見其他登記事項,見其他登記事項,1050810,79.46000000000001,1,1,1,有,有,有,22000,277,坡道平面,23.03,0,租金含管理費。,RPWNMLPJJIPFFDF09CC
汐止區,建物,新北市汐止區建成路57巷1~30號,0.0,住,,,1091011,土地0建物1車位0,十七層,17,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0851029,73.14,2,2,1,有,有,有,15500,212,,0.0,0,租金含管理費。,RPUOMLPJJIPFFDF98CC
汐止區,房地(土地+建物)+車位,新北市汐止區新臺五路二段61~90號,16.64,住,,,1091024,土地1建物1車位1,九層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0871212,161.95,3,2,2,有,有,無,25000,154,坡道機械,34.4,0,含管理費、稅金或水電等費用。;,RPWOMLPJJIPFFDF56CC
土城區,車位,新北市土城區金城路二段121~150號,0.0,住,,,1091018,土地0建物0車位1,,,其他,,,,30.9,0,0,0,有,有,無,2650,,坡道平面,30.9,2650,含管理費、稅金或水電等費用。;,RPUOMLPJJIPFFAF68CC
板橋區,建物,新北市板橋區中山路二段361~390號,0.0,住,,,1091022,土地0建物0車位0,二層,3,套房(1房1廳1衛),住家用,加強磚造,0611220,12.79,1,0,1,有,無,有,7500,586,,0.0,0,此為分租套房，第2層共分成4間，一間平均面積約為12.79平方公尺。,RPWOMLPJJIPFFAF88CC
土城區,建物,新北市土城區福安街31~60號,0.0,住,,,1091021,土地0建物1車位0,四層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0790118,112.99,3,2,2,有,無,有,14200,126,,0.0,0,此物件加入新北市政府社會住宅包租代管計畫，評定市價租金為17,820元，包租包管方案打八折為14,200元，以14,200元為簽約租賃契約租金。,RPRPMLPJJIPFFAF48CC
板橋區,建物,新北市板橋區民有街91~120號,0.0,住,,,1091020,土地0建物1車位0,一層,4,公寓(5樓含以下無電梯),住家用,加強磚造,,59.64,2,2,1,有,無,有,20200,339,,0.0,0,此為新北市社會住宅包租代管計畫之物件，評定市價租金為22444，因為新北市計畫租金上限為22500，選擇代租方案須打九折，實際租賃契約金額為20200,RPTPMLPJJIPFFAF68CC
林口區,房地(土地+建物)+車位,新北市林口區文化三路二段31~60號,31.64,住,,,1091102,土地1建物1車位2,見其他登記事項,19,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1010712,323.45,3,2,2,有,有,有,55000,170,坡道平面,76.7,0,含管理費、稅金或水電等費用。;,RPOQMLPJJIPFFBF38CC
新莊區,建物,新北市新莊區中和街59巷1~30號,0.0,住,,,1091017,土地0建物1車位0,五層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0850625,96.80999999999999,3,2,2,有,有,有,22000,227,,0.0,0,租金含管理費。,RPUQMLPJJIPFFBF98CC
新莊區,建物,新北市新莊區中平路184巷10弄1~30號,0.0,住,,,1091018,土地0建物1車位0,二層,7,套房(1房1廳1衛),住家用,鋼筋混凝土造,0850528,39.84,1,0,1,有,有,有,13000,326,,0.0,0,租金含管理費。,RPVQMLPJJIPFFBF09CC
林口區,房地(土地+建物)+車位,新北市林口區中山路511~540號,11.03,商,,,1091105,土地1建物1車位1,二層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0960927,121.43,0,0,0,無,有,有,17000,140,坡道平面,32.43,0,含管理費、稅金或水電等費用。;,RPPSMLPJJIPFFBF68CC
林口區,建物,新北市林口區南勢街250巷1~30號,0.0,住,,,1091021,土地0建物1車位1,八層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0960518,139.41,2,2,2,有,有,有,21000,205,坡道平面,46.78,2000,此為新北市社會住宅包租代管計畫之物件，評定市價租金為21111，因為新北市計畫租金上限為22500，選擇代租方案須打九折，實際租賃契約金額為19000,另有車位租金2000.,RPWSMLPJJIPFFBF76CC
鶯歌區,建物,新北市鶯歌區鶯桃路182巷96弄1~30號,0.0,住,,,1091105,土地0建物1車位0,五層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820903,121.97,3,2,2,有,有,有,12000,98,,0.0,0,此為新北市社會住宅包租代管計畫之物件，評定市價租金為19794，因為新北市計畫租金上限為22500，選擇代租方案須打九折，實際租賃契約金額為12000,RPUPMLPJJIPFFIF96CC
樹林區,建物,新北市樹林區大雅路361~390號,0.0,住,,,1091018,土地0建物1車位1,六層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960629,103.52,2,2,1,有,有,有,20000,193,坡道機械,16.02,0,租金含管理費。,RPPRMLPJJIPFFIF66CC
永和區,建物,新北市永和區中正路31~60號,0.0,商,,,1091021,土地0建物0車位0,十層,11,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,0670313,17.0,1,0,1,有,無,有,13000,765,,0.0,0,此為分租套房，第10層共分成3間，一間平均面積約為17平方公尺。,RPOPMLPJJIPFFHF88CC
永和區,建物,新北市永和區自強街8巷1~30號,0.0,商,,,1091027,土地0建物0車位0,二層,5,套房(1房1廳1衛),商業用,鋼筋混凝土造,0670729,20.24,1,0,1,有,無,有,10000,494,,0.0,0,此為分租套房，第2層共分成5間，一間平均面積約為20.24平方公尺。,RPPQMLPJJIPFFHF09CC
中和區,建物,新北市中和區中原二街61~90號,0.0,住,,,1091029,土地0建物1車位1,六層,14,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1030813,259.03,3,2,2,有,有,有,60000,232,坡道平面,33.35,0,,RPSQMLPJJIPFFHF76CC
中和區,建物,新北市中和區民生街85巷4弄1~30號,0.0,住,,,1091020,土地0建物1車位0,一層,4,公寓(5樓含以下無電梯),住家用,見其他登記事項,0660623,105.0,3,2,2,有,無,有,25000,238,,0.0,0,含增建或未登記建物。;,RPTQMLPJJIPFFHF86CC
三重區,建物,新北市三重區自強路四段31巷1~30號,0.0,住,,,1091021,土地0建物0車位0,五層,5,套房(1房1廳1衛),住家用,鋼筋混凝土造,0700930,15.6,1,0,1,有,無,有,6000,385,,0.0,0,此為分租套房，第5層共分成5間，一間平均面積約為15.6平方公尺。,RPVPMLPJJIPFFGF86CC
蘆洲區,建物,新北市蘆洲區信義路34巷31~60號,0.0,住,,,1091017,土地0建物1車位0,二層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0880621,66.47,2,2,1,有,無,有,25000,376,,0.0,0,,RPQQMLPJJIPFFGF09CC
蘆洲區,建物,新北市蘆洲區三民路571~600號,0.0,商,,,1091018,土地0建物1車位1,七層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1041230,165.35000000000002,3,2,2,有,有,有,37000,224,坡道平面,19.55,0,,RPSQMLPJJIPFFGF66CC
三重區,建物,新北市三重區自強路四段31巷1~30號,0.0,住,,,1091022,土地0建物0車位0,五層,5,套房(1房1廳1衛),住家用,鋼筋混凝土造,0700930,15.6,1,0,1,有,無,有,6500,417,,0.0,0,此為分租套房，第5層共分成5間，一間平均面積約為15.6平方公尺。,RPORMLPJJIPFFGF98CC
蘆洲區,建物,新北市蘆洲區鷺江街89巷1~30號,0.0,住,,,1091028,土地0建物1車位0,六層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0951221,48.56,1,1,1,有,有,有,15000,309,,0.0,0,此為新北市社會住宅包租代管計畫之物件，評定市價租金為16667，因為新北市計畫租金上限為22500，選擇代租方案須打九折，實際租賃契約金額為15000,RPSRMLPJJIPFFGF76CC
淡水區,建物,新北市淡水區中正東路一段3巷1~30號,0.0,工,,,1091029,土地0建物1車位0,二層,7,廠辦,工業用,鋼筋混凝土造,0830726,80.97,2,1,1,有,有,有,12000,148,,0.0,0,,RPVQMLPJJIPFFEF76CC
三芝區,建物,新北市三芝區芝麻五街1~30號,0.0,,山坡地保育區,丙種建築用地,1091018,土地0建物1車位1,八層,10,套房(1房1廳1衛),住家用,鋼筋混凝土造,0860411,82.61,1,1,1,有,有,有,7500,91,坡道平面,34.43,0,含增建或未登記建物。;含管理費、稅金或水電等費用。;,RPTNMLQJJIPFFEF98CC
三重區,建物,新北市三重區大智街151~180號,0.0,住,,,1091017,土地0建物1車位0,四層,4,公寓(5樓含以下無電梯),住家用,加強磚造,,70.37,3,2,2,有,無,有,18000,256,,0.0,0,含增建或未登記建物。;作辦公室使用。,RPUQMLQJJIPFFGF96CC
中和區,房地(土地+建物),新北市中和區景平路159巷1~30號,44.16,商,,,1090918,土地1建物1車位0,一層,14,店面(店鋪),見其他登記事項,見其他登記事項,1041204,29.06,0,0,0,無,有,無,38000,1308,,0.0,0,,RPSQMLQJJIPFFHF86CC
永和區,建物,新北市永和區福和路245巷1~30號,0.0,住,,,1091022,土地0建物1車位0,四層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0870512,66.82000000000001,3,1,1,有,無,有,17000,254,,0.0,0,此為新北市社會住宅包租代管計畫之物件，評定市價租金為18889，因為新北市計畫租金上限為22500，選擇代租方案須打九折，實際租賃契約金額為17000,RPTQMLQJJIPFFHF96CC
永和區,建物,新北市永和區保福路二段44巷2弄1~30號,0.0,其他,,,1091021,土地0建物1車位0,一層,4,公寓(5樓含以下無電梯),住家用,加強磚造,0641028,75.72,3,2,2,有,無,有,28000,370,,0.0,0,,RPQSMLQJJIPFFHF86CC
土城區,房地(土地+建物),新北市土城區光明街31~60號,13.81,住,,,1090905,土地1建物1車位0,七層,10,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1041230,98.35,3,2,1,有,無,有,26000,264,,0.0,0,,RPWNMLQJJIPFFAF09EC
汐止區,房地(土地+建物),新北市汐止區樟樹一路141巷1~30號,20.99,商,,,1091020,土地1建物1車位0,五層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0751016,77.43,4,3,2,有,無,有,23000,297,,0.0,0,含增建或未登記建物。;,RPOPMLQJJIPFFDF78EC
汐止區,房地(土地+建物),新北市汐止區新臺五路一段271~300號,37.35,住,,,1091009,土地1建物2車位0,見其他登記事項,29,店面(店鋪),見其他登記事項,鋼筋混凝土造,1040331,541.91,0,0,0,無,有,無,164604,304,,0.0,0,自租約起日至114年10月8日止月租金164.604元自114年10月9日至116年10月8日止月租金170280元自116年10月9日至119年10月8日止月租金175956元,RPUNMLQJJIPFFDF09DC
新莊區,建物,新北市新莊區中原東路181~210號,0.0,商,,,1091020,土地0建物0車位1,一層,19,店面(店鋪),見其他登記事項,鋼筋混凝土造,1031120,160.74,1,1,0,有,有,無,30000,187,坡道平面,29.4,0,部分承租。公設面積無法分算。,RPTQMLQJJIPFFBF98CC
新莊區,建物,新北市新莊區中港路288巷31~60號,0.0,住,,,1091023,土地0建物1車位0,四層,4,公寓(5樓含以下無電梯),住家用,加強磚造,0640118,66.27,3,1,1,有,無,有,15000,226,,0.0,0,此為新北市社會住宅包租代管計畫之物件，評定市價租金為16667，因為新北市計畫租金上限為22500，選擇代租方案須打九折，實際租賃契約金額為15000,RPRRMLQJJIPFFBF88CC
土城區,建物,新北市土城區中華路一段211~240號,24.05,商,,,1091105,土地0建物1車位0,二十層,32,辦公商業大樓,見其他登記事項,見其他登記事項,1081120,160.01,0,0,0,無,有,無,45000,281,,0.0,0,,RPXOMLQJJIPFFAF09CC
土城區,建物,新北市土城區裕民路61~90號,0.0,住,,,1091007,土地0建物3車位0,見其他登記事項,12,店面(店鋪),商業用,鋼筋混凝土造,0850328,382.73,0,0,1,有,有,無,72000,188,,0.0,0,,RPQQMLQJJIPFFAF58CC
汐止區,房地(土地+建物)+車位,新北市汐止區仁愛路152巷61~90號,17.27,住,,,1091031,土地2建物1車位1,九層,21,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1080603,132.84,2,2,1,有,有,無,23000,173,坡道平面,38.24,0,,RPWNMLQJJIPFFDF56CC
汐止區,房地(土地+建物),新北市汐止區樟樹二路31~60號,118.92,工,,,1091103,土地1建物1車位0,二層,2,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0700426,90.2,3,1,1,有,無,無,15000,166,,0.0,0,建物門牌為整編後門牌,RPSPMLQJJIPFFDF98CC
新店區,建物,新北市新店區寶高路120巷4弄1~30號,0.0,其他,,,1091022,土地0建物1車位0,五層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0730601,110.29,3,2,2,有,有,有,17000,154,,0.0,0,此為新北市社會住宅包租代管計畫之物件，評定市價租金為18889，因為新北市計畫租金上限為22500，選擇代租方案須打九折，實際租賃契約金額為17000,RPOOMLQJJIPFFCF38CC
新店區,建物,新北市新店區安忠路71巷1~30號,0.0,住,,,1091022,土地0建物1車位0,五層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0701023,91.76,3,2,2,有,無,有,18000,196,,0.0,0,此為新北市社會住宅包租代管計畫之物件，評定市價租金為20000，因為新北市計畫租金上限為22500，選擇代租方案須打九折，實際租賃契約金額為18000,RPXOMLQJJIPFFCF66CC
新莊區,建物,新北市新莊區民安路271~300號,0.0,住,,,1091014,土地0建物1車位0,八層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0861023,130.26999999999998,3,2,2,有,有,有,23000,177,,0.0,0,國家住宅及都市更新中心辦理社會住宅包租代管第2期計畫,RPQNMLSJJIPFFBF58CC
林口區,建物,新北市林口區南勢二街391~420號,0.0,住,,,1091021,土地0建物1車位1,五層,7,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1070103,124.32,2,2,1,有,有,有,22000,177,坡道平面,26.32,0,租金含管理費。,RPQOMLTJJIPFFBF78CC
新莊區,建物,新北市新莊區思源路192巷61~90號,0.0,住,,,1091020,土地0建物1車位1,七層,19,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1000915,152.96,3,2,2,有,有,有,35000,229,坡道平面,0.0,0,,RPPQMLTJJIPFFBF88CC
新莊區,建物,新北市新莊區思源路192巷61~90號,0.0,住,,,1091030,土地0建物1車位0,七層,19,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1000915,124.03,3,2,2,有,有,有,30000,242,,0.0,0,,RPQQMLTJJIPFFBF98CC
新莊區,房地(土地+建物),新北市新莊區中信街91~120號,25.42,住,,,1091026,土地1建物1車位0,四層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0760909,92.77,3,2,2,有,無,有,17500,189,,0.0,0,,RPRQMLTJJIPFFBF09CC
泰山區,房地(土地+建物),新北市泰山區民族街10巷1~30號,25.62,住,,,1091030,土地1建物1車位0,四層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0670615,79.8,4,2,2,有,無,無,14500,182,,0.0,0,,RPXQMLTJJIPFFBF07CC
林口區,建物,新北市林口區工六路31~60號,0.0,住,,,1091022,土地0建物0車位0,二層,4,套房(1房1廳1衛),住家用,鋼筋混凝土造,0740729,11.57,1,0,1,有,無,有,5500,475,,0.0,0,含管理費、稅金或水電等費用。;部分承租。,RPTTMLTJJIPFFBF96CC
新莊區,建物,新北市新莊區建福路49巷31~60號,0.0,住,,,1091020,土地0建物1車位0,一層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0750113,102.82,3,2,2,有,無,有,20000,195,,0.0,0,含增建或未登記建物。;作辦公室使用。,RPWTMLTJJIPFFBF27CC
汐止區,建物,新北市汐止區建成路31~60號,0.0,商,,,1091022,土地0建物1車位0,十層,18,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0871128,79.56,1,2,1,有,有,有,15000,189,,0.0,0,租金含管理費。,RPXPMLTJJIPFFDF17CC
板橋區,建物,新北市板橋區民生路一段1~30號,0.0,住,,,1091015,土地0建物1車位1,二層,25,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0831202,180.16000000000003,4,2,2,有,無,有,36000,200,升降機械,0.0,0,,RPQQMLTJJIPFFAF88CC
板橋區,建物,新北市板橋區中山路二段361~390號,0.0,住,,,1091024,土地0建物0車位0,二層,3,套房(1房1廳1衛),住家用,加強磚造,0611220,12.79,1,0,1,有,無,有,7000,547,,0.0,0,此為分租套房，第2層共分成4間，一間平均面積約為12.79平方公尺。,RPVQMLTJJIPFFAF76CC
板橋區,建物,新北市板橋區長安街331巷31~60號,0.0,住,,,1091021,土地0建物1車位0,四層,4,公寓(5樓含以下無電梯),住家用,加強磚造,0640710,84.23,3,2,1,有,無,有,16000,190,,0.0,0,含增建或未登記建物。;,RPPSMLTJJIPFFAF98CC
中和區,建物,新北市中和區圓通路232巷1~30號,0.0,住,,,1091101,土地0建物1車位0,一層,6,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0791121,127.09,0,0,0,無,無,有,35000,275,,0.0,0,,RPQOMLTJJIPFFHF76CC
永和區,建物,新北市永和區竹林路39巷28弄1~30號,161.0,住,,,1091107,土地0建物1車位0,一層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0670814,115.32,4,2,2,有,無,無,25000,217,,0.0,0,,RPTPMLTJJIPFFHF17CC
中和區,建物,新北市中和區建康路181~210號,0.0,住,,,1091022,土地0建物1車位1,十一層,27,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1080225,159.57999999999998,3,2,2,有,有,有,36000,226,坡道平面,37.71,0,租金含管理費。,RPXSMLTJJIPFFHF87CC
三重區,建物,新北市三重區同安街1~30號,0.0,住,,,1091025,土地0建物0車位0,六層,7,套房(1房1廳1衛),住家用,鋼筋混凝土造,0980506,29.15,1,0,1,有,無,有,8800,302,,0.0,0,此為分租套房，第6層共分成5間，一間平均面積約為29.15平方公尺。,RPRQMLTJJIPFFGF96CC
三重區,建物,新北市三重區三和路四段160巷91~120號,0.0,住,,,1091029,土地0建物0車位0,四層,4,套房(1房1廳1衛),住家用,加強磚造,0600801,19.86,1,0,1,有,無,有,8000,403,,0.0,0,此為分租套房，第4層共分成3間，一間平均面積約為19.86平方公尺。,RPTQMLTJJIPFFGF17CC
三重區,建物,新北市三重區環河南路121~150號,0.0,住,,,1091023,土地0建物1車位0,十一層,14,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1051018,44.29,1,0,1,有,有,有,18000,406,,0.0,0,,RPVQMLTJJIPFFGF37CC
三重區,建物,新北市三重區重新路二段61~90號,0.0,商,,,1091027,土地0建物0車位0,八層,12,套房(1房1廳1衛),商業用,鋼筋混凝土造,0810716,28.970000000000002,1,0,1,有,無,有,11500,397,,0.0,0,此為分租套房，第八層共分成11間，一間平均面積約為28.97平方公尺。,RPXQMLTJJIPFFGF57CC
蘆洲區,建物,新北市蘆洲區中興街130巷1~30號,0.0,住,,,1091028,土地0建物1車位0,三層,4,公寓(5樓含以下無電梯),見其他登記事項,鋼筋混凝土造,0700605,83.22,3,1,1,有,無,有,24000,288,,0.0,0,,RPORMLTJJIPFFGF76CC
淡水區,建物,新北市淡水區中正東路二段121~150號,0.0,住,,,1091021,土地0建物1車位0,十八層,21,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0900302,51.46,2,1,1,有,有,有,17000,330,,0.0,0,,RPUNMLTJJIPFFEF76CC
淡水區,建物,新北市淡水區淡金路79巷61~90號,0.0,住,,,1091020,土地0建物1車位0,四層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0990816,75.21000000000001,1,1,1,有,有,有,17500,233,,0.0,0,,RPOPMLTJJIPFFEF98CC
淡水區,建物,新北市淡水區新民街241~270號,0.0,住,,,1091022,土地0建物1車位1,十一層,16,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0900824,264.44,4,2,2,有,有,有,27000,102,坡道平面,40.01,0,,RPPPMLTJJIPFFEF09CC
淡水區,建物,新北市淡水區興福寮88巷1~30號,0.0,,山坡地保育區,丙種建築用地,1091021,土地0建物1車位1,七層,29,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1030820,153.39000000000001,2,2,1,有,無,有,25000,163,坡道平面,0.0,0,,RPQQMLTJJIPFFEF66CC
淡水區,建物,新北市淡水區自強路80巷1~30號,0.0,住,,,1091105,土地0建物1車位0,五層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0850723,74.92999999999999,2,2,1,有,有,有,15000,200,,0.0,0,此為新北市社會住宅包租代管計畫之物件，評定市價租金為16667，因為新北市計畫租金上限為22500，選擇代租方案須打九折，實際租賃契約金額為15000。,RPQRMLTJJIPFFEF76CC
淡水區,建物,新北市淡水區新市三路二段211~240號,0.0,商,,,1091106,土地0建物1車位1,十層,29,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1070525,123.38,2,1,2,有,有,有,11500,93,坡道平面,30.46,500,此為新北市社會住宅包租代管計畫之物件，評定市價租金為12778，因為新北市計畫租金上限為22500，選擇代租方案須打九折，實際租賃契約金額為11500。,RPSRMLTJJIPFFEF96CC
淡水區,建物,新北市淡水區沙崙路131巷13弄1~30號,0.0,住,,,1091106,土地0建物1車位0,五層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0791004,144.55,3,2,2,有,有,有,15000,104,,0.0,0,此為新北市社會住宅包租代管計畫之物件，評定市價租金為16667，因為新北市計畫租金上限為22500，選擇代租方案須打九折，實際租賃契約金額為15000。,RPTRMLTJJIPFFEF07CC
淡水區,建物,新北市淡水區中山北路一段241~270號,0.0,住,,,1091106,土地0建物1車位0,二十九層,31,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,0880811,50.56999999999999,1,1,1,有,無,有,9200,182,,0.0,0,此為新北市社會住宅包租代管計畫之物件，評定市價租金為10222，因為新北市計畫租金上限為18000，選擇代租方案須打九折，實際租賃契約金額為9200。,RPWRMLTJJIPFFEF37CC
淡水區,建物,新北市淡水區中正東路一段3巷14弄1~30號,0.0,住,,,1091106,土地0建物1車位0,九層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0961121,113.50999999999999,3,2,2,有,有,有,16200,143,,0.0,0,此為新北市社會住宅包租代管計畫之物件，評定市價租金為18000，因為新北市計畫租金上限為18000，選擇代租方案須打九折，實際租賃契約金額為16200。,RPXRMLTJJIPFFEF47CC
淡水區,房地(土地+建物),新北市淡水區北新路182巷1~30號,4.47,住,,,1091105,土地1建物1車位0,五層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0780122,20.72,1,0,1,有,無,有,3400,164,,0.0,0,,RPPOMLKKJIPFFEF18CC
淡水區,建物,新北市淡水區淡海路231巷1~30號,0.0,住,,,1091015,土地0建物1車位0,四層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820925,75.43,2,1,1,有,有,有,10000,133,,0.0,0,此為新北市社會住宅包租代管計劃之物件，評定市價租金為16184，因新北市計劃租金上限為22500，選擇代租方案須打九折且簽約租金無條件捨去至百分位，房東願以較低的金額出租，故實際租賃契約金額為10000。管理費另收500元。,RPUOMLKKJIPFFEF68CC
中和區,建物,新北市中和區中正路871~900號,0.0,工,,,1091030,土地0建物1車位0,十六層,17,辦公商業大樓,見其他登記事項,鋼筋混凝土造,0910617,310.0,0,0,0,無,有,無,69397,224,,0.0,0,,RPXRMLKKJIPFFHF96CC
中和區,建物,新北市中和區中正路721~750號,0.0,工,,,1091014,土地0建物1車位0,七層,18,廠辦,工業用,鋼筋混凝土造,0880227,233.47,0,0,0,無,有,無,59861,256,,0.0,0,,RPQTMLKKJIPFFHF09CC
中和區,建物,新北市中和區南工路10巷1~30號,0.0,住,,,1090929,土地0建物1車位1,三層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830106,140.94,3,2,2,有,有,有,20500,145,升降平面,0.0,2500,此物件加入新北市政府社會住宅包租代管計畫，評定市價租金為22,500元，包租包管方案打八折為18,000元，以18,000元為簽約租賃契約租金。每月車位租金2,500元另計。原申報書序號C1FH10910280018 內容有誤，重新更正。,RPPVMLKKJIPFFHF56CC
淡水區,建物,新北市淡水區英專路181~210號,0.0,住,,,1090908,土地0建物1車位0,九層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0930603,35.54,0,0,0,無,無,有,7450,210,,0.0,0,國家住宅及都市更新中心辦理社會住宅包租代管第二期計畫,RPVNMLKKJIPFFEF88EC
