鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
板橋區,建物,新北市板橋區南雅南路二段121~150號,0.0,住,,,1091008,土地0建物1車位1,十一層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000602,160.14999999999998,3,2,2,有,有,有,36200,226,坡道平面,36.97,0,含管理費、稅金或水電等費用。;,RPWPOLMJJIPFFAF88CC
板橋區,建物,新北市板橋區文化路一段361~390號,0.0,住,,,1091013,土地0建物1車位0,二十四層,43,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,0990715,54.129999999999995,1,1,1,有,有,有,28000,517,,0.0,0,含增建或未登記建物。;含管理費、稅金或水電等費用。;,RPRQOLMJJIPFFAF48CC
汐止區,房地(土地+建物),新北市汐止區中興路110巷9弄1~30號,39.45,住,,,1091028,土地1建物1車位0,二層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0680527,90.24,6,3,2,有,無,有,25000,277,,0.0,0,,RPPNMLMJJIPFFDF08CC
汐止區,建物,新北市汐止區湖前街110巷97弄1~30號,0.0,其他,,,1091005,土地0建物1車位0,十八層,25,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0881202,61.199999999999996,1,1,1,有,有,無,12500,204,,0.0,0,,RPPPMLMJJIPFFDF28CC
汐止區,建物,新北市汐止區區湖前街110巷97弄1~30號,0.0,其他,,,1091101,土地0建物1車位0,十一層,25,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0881202,83.66,2,2,1,有,有,無,15500,185,,0.0,0,,RPSPMLMJJIPFFDF58CC
汐止區,建物,新北市汐止區忠孝東路481~510號,0.0,住,,,1091031,土地0建物1車位0,一層,9,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0880414,131.73000000000002,0,0,0,無,有,無,25000,190,,0.0,0,,RPRNMLNJJIPFFDF38CC
板橋區,建物,新北市板橋區溪崑二街112巷31~60號,0.0,住,,,1091015,土地0建物1車位0,五層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,98.64,3,2,2,有,無,有,15000,152,,0.0,0,租金含管理費。,RPRNMLNJJIPFFAF08CC
板橋區,建物,新北市板橋區永翠路91~120號,0.0,住,,,1091016,土地0建物1車位0,六層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1090420,69.76,2,1,1,有,有,有,22000,315,,0.0,0,租金含管理費。,RPPRMLNJJIPFFAF28CC
板橋區,建物,新北市板橋區大同街1~30號,0.0,住,,,1091016,土地0建物1車位0,一層,8,店面(店鋪),見其他登記事項,鋼筋混凝土造,0940203,57.31,0,1,1,有,有,無,22000,384,,0.0,0,租期內含免租裝潢期。租金含管理費。,RPRRMLNJJIPFFAF48CC
林口區,建物,新北市林口區文化二路一段541~570號,0.0,商,,,1091016,土地0建物1車位1,六層,19,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0961017,252.81,4,2,2,有,有,有,25551,101,坡道平面,41.78,0,,RPOSMLNJJIPFFBF38CC
新莊區,建物,新北市新莊區龍安路69巷31~60號,0.0,住,,,1091016,土地0建物1車位0,六層,22,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,1061205,68.18,1,1,1,有,有,有,20000,293,,0.0,0,租金含管理費。,RPRSMLNJJIPFFBF68CC
五股區,建物,新北市五股區五工二路106巷1~30號,0.0,,工業區,丁種建築用地,1090928,土地0建物1車位0,三層,6,廠辦,見其他登記事項,鋼筋混凝土造,0840822,453.74,0,0,0,無,有,有,84000,185,,0.0,0,含管理費、稅金或水電等費用。;,RPPUMLNJJIPFFBF68CC
林口區,房地(土地+建物),新北市林口區文化三路二段271~300號,39.23,住,,,1091016,土地1建物1車位0,見其他登記事項,12,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1040519,187.28,0,0,0,無,有,有,34000,182,,0.0,0,,RPSUMLNJJIPFFBF98CC
五股區,建物,新北市五股區芳洲路31~60號,0.0,住,,,1091006,土地0建物1車位0,二層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1040824,92.67,2,2,1,有,有,有,15600,168,,0.0,0,國家住宅及都市更新中心辦理社會住宅包租代管第2期計畫,RPVUMLNJJIPFFBF66CC
五股區,建物,新北市五股區自強路121~150號,0.0,住,,,1091006,土地0建物1車位0,四層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0730924,87.4,3,2,2,有,無,有,13000,149,,0.0,0,國家住宅及都市更新中心辦理社會住宅包租代管第2期計畫,RPXUMLNJJIPFFBF86CC
五股區,建物,新北市五股區登林路61~90號,0.0,住,,,1090930,土地0建物1車位0,六層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0900611,67.85,2,2,1,有,有,有,15000,221,,0.0,0,國家住宅及都市更新中心辦理社會住宅包租代管第2期計畫,RPOVMLNJJIPFFBF68CC
五股區,建物,新北市五股區明德路12巷1~30號,0.0,商,,,1090930,土地0建物1車位1,十一層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880213,160.05,3,2,2,有,有,有,20000,124,坡道平面,15.19,2000,國家住宅及都市更新中心辦理社會住宅包租代管第2期計畫,RPPVMLNJJIPFFBF78CC
五股區,建物,新北市五股區新城五路1~30號,0.0,住,,,1090925,土地0建物1車位1,五層,14,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1030402,115.97,2,1,1,有,有,有,12900,113,坡道平面,28.6,3000,國家住宅及都市更新中心辦理社會住宅包租代管第2期計畫,RPQVMLNJJIPFFBF88CC
五股區,建物,新北市五股區成泰路三段577巷80弄31~60號,0.0,住,,,1090915,土地0建物1車位0,四層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0760921,89.38,3,2,2,有,無,有,15000,168,,0.0,0,國家住宅及都市更新中心辦理社會住宅包租代管第2期計畫,RPSVMLNJJIPFFBF09CC
